Lat,Lon,Importancia,Acidente,Teatro_Maritimo,Lat_original,Lon_original
38.266666666666666,-9.866666666666667,4.0,0,Continente,38.266666666666666,-9.866666666666667
38.266666666666666,-9.866666666666667,4.0,0,Continente,38.266666666666666,-9.866666666666667
36.70783333333333,-8.871166666666667,4.0,0,Continente,36.70783333333333,-8.871166666666667
37.06037958242699,-8.50334544034804,8.0,1,Continente,37.12533333333333,-8.502
38.9875,-9.769333333333334,5.0,0,Continente,38.9875,-9.769333333333334
38.9875,-9.769333333333334,5.0,0,Continente,38.9875,-9.769333333333334
37.03333333333333,-9.233333333333333,5.0,0,Continente,37.03333333333333,-9.233333333333333
37.55785,-25.55985,8.0,1,Açores,37.55785,-25.55985
37.55785,-25.55985,8.0,1,Açores,37.55785,-25.55985
39.835,-10.111666666666666,5.0,0,Continente,39.835,-10.111666666666666
38.653333333333336,-27.261666666666667,10.0,1,Açores,38.653333333333336,-27.261666666666667
39.888333333333335,-9.395,8.0,1,Continente,39.888333333333335,-9.395
37.0771,-8.669583333333334,8.0,1,Continente,37.0771,-8.669583333333334
37.0771,-8.669583333333334,8.0,1,Continente,37.0771,-8.669583333333334
36.35,-23.65,5.0,0,Açores,36.35,-23.65
37.053333333333335,-8.491666666666667,5.0,0,Continente,37.053333333333335,-8.491666666666667
38.016666666666666,-9.906666666666666,5.0,0,Continente,38.016666666666666,-9.906666666666666
38.563116666666666,-9.596516666666666,8.0,1,Continente,38.563116666666666,-9.596516666666666
30.038166666666665,-14.5865,8.0,1,Madeira,30.038166666666665,-14.5865
30.038166666666665,-14.5865,8.0,1,Madeira,30.038166666666665,-14.5865
40.876666666666665,-8.81,10.0,1,Continente,40.876666666666665,-8.81
36.75333333333333,-8.223666666666666,4.0,0,Continente,36.75333333333333,-8.223666666666666
38.60333333333333,-9.546666666666667,5.0,0,Continente,38.60333333333333,-9.546666666666667
36.935,-7.936833333333333,8.0,1,Continente,36.935,-7.936833333333333
41.38166666666667,-9.251666666666667,8.0,1,Continente,41.38166666666667,-9.251666666666667
36.884566666666665,-9.738,4.0,0,Continente,36.884566666666665,-9.738
41.03333333333333,-10.066666666666666,4.0,0,Continente,41.03333333333333,-10.066666666666666
39.625,-9.276666666666667,5.0,0,Continente,39.625,-9.276666666666667
37.0855,-8.421333333333333,8.0,1,Continente,37.0855,-8.421333333333333
37.01833333333333,-9.458333333333334,4.0,0,Continente,37.01833333333333,-9.458333333333334
41.1552470542511,-8.747158440548944,10.0,1,Continente,41.157066666666665,-8.703916666666666
41.1552470542511,-8.747158440548944,10.0,1,Continente,41.157066666666665,-8.703916666666666
36.587833333333336,-8.945,5.0,0,Continente,36.587833333333336,-8.945
41.21666666666667,-8.952166666666667,8.0,1,Continente,41.21666666666667,-8.952166666666667
41.21666666666667,-8.952166666666667,8.0,1,Continente,41.21666666666667,-8.952166666666667
36.304833333333335,-9.093166666666667,8.0,1,Continente,36.304833333333335,-9.093166666666667
36.482,-9.0,5.0,0,Continente,36.482,-9.0
37.90266666666667,-9.252666666666666,5.0,0,Continente,37.90266666666667,-9.252666666666666
